date,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,windspeed_10m_max
2015-01-01,Nairobi,27.5,13.7,20.5,0.0,0.0,18.3
2015-01-02,Nairobi,28.3,12.9,20.7,0.0,0.0,19.1
2015-01-03,Nairobi,29.1,13.1,21.1,0.0,0.0,18.3
2015-01-04,Nairobi,30.2,13.9,21.8,0.0,0.0,12.6
2015-01-05,Nairobi,29.4,15.3,22.3,0.0,0.0,11.9
2015-01-06,Nairobi,28.4,16.8,21.8,0.0,0.0,16.1
2015-01-07,Nairobi,26.8,15.6,20.8,1.8,1.8,12.2
2015-01-08,Nairobi,27.3,15.4,21.0,0.5,0.5,17.5
2015-01-09,Nairobi,26.1,16.4,20.9,0.1,0.1,19.5
2015-01-10,Nairobi,26.8,15.3,21.4,0.3,0.3,11.7
2015-01-11,Nairobi,26.4,17.2,21.6,0.2,0.2,11.2
2015-01-12,Nairobi,26.3,16.4,20.9,0.0,0.0,19.3
2015-01-13,Nairobi,27.0,16.2,21.0,0.0,0.0,21.1
2015-01-14,Nairobi,28.3,15.3,21.3,0.0,0.0,19.4
2015-01-15,Nairobi,30.0,13.2,21.8,0.0,0.0,14.2
2015-01-16,Nairobi,30.8,15.3,22.7,0.0,0.0,12.3
2015-01-17,Nairobi,30.4,15.6,22.9,0.0,0.0,14.2
2015-01-18,Nairobi,31.3,15.0,23.1,0.0,0.0,9.8
2015-01-19,Nairobi,28.3,16.6,22.5,0.0,0.0,11.3
2015-01-20,Nairobi,26.0,16.3,20.4,7.5,7.5,14.0
2015-01-21,Nairobi,24.9,14.1,19.3,0.3,0.3,20.4
2015-01-22,Nairobi,25.1,14.9,19.7,0.0,0.0,20.0
2015-01-23,Nairobi,26.5,14.6,19.8,0.0,0.0,19.9
2015-01-24,Nairobi,25.7,15.3,20.0,0.0,0.0,20.9
2015-01-25,Nairobi,26.8,13.6,19.7,0.0,0.0,21.8
2015-01-26,Nairobi,27.5,13.5,20.1,0.0,0.0,18.9
2015-01-27,Nairobi,28.8,12.8,20.8,0.0,0.0,18.1
2015-01-28,Nairobi,28.1,14.6,21.3,0.0,0.0,17.2
2015-01-29,Nairobi,28.3,15.2,21.3,0.0,0.0,21.4
2015-01-30,Nairobi,28.4,13.9,21.2,0.0,0.0,19.9
2015-01-31,Nairobi,29.9,13.9,21.7,0.0,0.0,20.2
2015-02-01,Nairobi,29.6,14.3,21.7,0.0,0.0,21.7
2015-02-02,Nairobi,27.9,14.7,21.3,0.0,0.0,22.7
2015-02-03,Nairobi,27.8,14.4,21.2,0.0,0.0,23.3
2015-02-04,Nairobi,26.7,15.2,20.7,0.0,0.0,22.5
2015-02-05,Nairobi,29.0,14.2,21.4,0.0,0.0,19.7
2015-02-06,Nairobi,27.8,15.6,21.5,0.0,0.0,19.2
2015-02-07,Nairobi,27.7,15.4,21.4,0.0,0.0,21.2
2015-02-08,Nairobi,28.6,15.5,21.4,0.0,0.0,21.1
2015-02-09,Nairobi,28.9,15.3,21.6,0.0,0.0,22.5
2015-02-10,Nairobi,27.8,15.5,21.1,0.0,0.0,20.6
2015-02-11,Nairobi,29.9,14.0,21.8,0.0,0.0,16.9
2015-02-12,Nairobi,28.5,14.9,22.0,0.0,0.0,19.3
2015-02-13,Nairobi,29.5,15.5,22.7,0.0,0.0,17.4
2015-02-14,Nairobi,29.9,16.0,22.9,0.0,0.0,15.8
2015-02-15,Nairobi,27.1,16.3,20.6,10.8,10.8,11.1
2015-02-16,Nairobi,28.0,15.2,20.4,5.7,5.7,11.3
2015-02-17,Nairobi,27.0,16.8,20.9,0.4,0.4,16.6
2015-02-18,Nairobi,26.9,15.8,20.9,0.8,0.8,16.5
2015-02-19,Nairobi,26.4,15.6,20.7,0.4,0.4,15.7
2015-02-20,Nairobi,26.6,15.9,21.2,0.2,0.2,18.7
2015-02-21,Nairobi,28.3,15.5,21.6,0.0,0.0,20.8
2015-02-22,Nairobi,28.2,16.1,21.6,0.0,0.0,18.8
2015-02-23,Nairobi,27.8,15.7,21.5,0.0,0.0,18.2
2015-02-24,Nairobi,28.4,15.2,21.5,0.0,0.0,19.5
2015-02-25,Nairobi,28.8,15.2,21.9,0.0,0.0,16.8
2015-02-26,Nairobi,29.3,15.1,22.2,0.0,0.0,20.6
2015-02-27,Nairobi,29.6,15.8,22.3,0.0,0.0,22.5
2015-02-28,Nairobi,30.6,15.6,22.8,0.0,0.0,21.9
2015-03-01,Nairobi,29.6,14.9,22.5,0.0,0.0,20.1
2015-03-02,Nairobi,30.1,15.6,22.7,0.0,0.0,23.0
2015-03-03,Nairobi,28.4,15.3,21.7,0.0,0.0,24.1
2015-03-04,Nairobi,30.1,13.9,22.0,0.0,0.0,23.1
2015-03-05,Nairobi,29.1,15.5,21.7,0.0,0.0,21.5
2015-03-06,Nairobi,29.5,14.7,22.0,0.0,0.0,23.2
2015-03-07,Nairobi,30.3,15.0,22.5,0.0,0.0,23.9
2015-03-08,Nairobi,30.3,15.3,22.6,0.0,0.0,23.7
2015-03-09,Nairobi,29.0,16.3,22.2,0.0,0.0,23.2
2015-03-10,Nairobi,28.1,15.5,21.6,0.0,0.0,23.0
2015-03-11,Nairobi,29.3,14.5,21.9,0.0,0.0,21.8
2015-03-12,Nairobi,28.4,16.0,21.8,0.2,0.2,17.6
2015-03-13,Nairobi,26.3,16.2,21.1,0.0,0.0,23.3
2015-03-14,Nairobi,27.6,15.6,21.0,0.0,0.0,20.9
2015-03-15,Nairobi,28.3,14.0,21.3,0.0,0.0,20.3
2015-03-16,Nairobi,28.6,15.6,21.7,0.0,0.0,21.8
2015-03-17,Nairobi,26.6,16.5,21.0,0.5,0.5,20.5
2015-03-18,Nairobi,26.0,16.1,20.7,0.5,0.5,22.5
2015-03-19,Nairobi,28.4,16.3,21.7,0.5,0.5,18.2
2015-03-20,Nairobi,25.9,16.4,21.0,0.7,0.7,18.2
2015-03-21,Nairobi,27.3,16.9,21.2,2.2,2.2,20.0
2015-03-22,Nairobi,25.3,16.7,19.9,3.1,3.1,22.6
2015-03-23,Nairobi,24.7,16.4,19.6,4.9,4.9,21.4
2015-03-24,Nairobi,24.2,16.1,19.4,3.5,3.5,18.1
2015-03-25,Nairobi,25.6,16.4,19.4,2.3,2.3,19.2
2015-03-26,Nairobi,22.5,16.2,18.4,10.9,10.9,17.2
2015-03-27,Nairobi,23.6,16.2,18.7,4.2,4.2,19.2
2015-03-28,Nairobi,24.2,16.2,19.3,2.4,2.4,19.0
2015-03-29,Nairobi,25.6,15.9,19.3,4.3,4.3,17.2
2015-03-30,Nairobi,24.9,16.6,19.8,2.8,2.8,16.5
2015-03-31,Nairobi,24.6,16.5,19.8,0.7,0.7,14.6
2015-04-01,Nairobi,25.3,15.8,20.4,0.6,0.6,13.5
